Team ID,Team Name,Year,Seed,AdjOff,AdjDef,ExpWin%,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2PT%,2PT%D,3PT%,3PT%D,ADJ Tempo
1,Virginia,2019,1,122.7,88.5,0.9773,55.7,43.5,14.7,17.8,30,25.9,30.3,27.9,52.2,45.5,40.9,27.2,61
2,Gonzaga,2019,1,124.1,91.4,0.9711,59.6,44.2,14.5,18.9,30.6,27.1,36,25.1,62.3,43.1,36.5,30.9,72.1
3,Duke,2019,1,119.4,88,0.9709,53.4,44.6,17.7,19.8,36.1,29.7,34.6,24,58.3,44.9,30.2,29.3,74
4,Michigan,2019,2,115.4,85.9,0.9675,52.1,44.1,13.5,18.3,24.5,25.5,27,24.9,51.8,44.5,35,28.9,65.9
5,North Carolina,2019,1,119.3,90.9,0.958,52.9,48.3,17.1,18.5,34.6,23.2,30.9,28.9,51.9,47.5,36.5,32.9,76.4
6,Michigan St.,2019,2,120.2,91.6,0.9578,55.8,43.7,18.7,14.9,34.1,26.8,35,27.7,54.8,41.3,38.4,31.8,69.3
7,Texas Tech,2019,3,112.2,86,0.955,53.7,42.8,18.2,23,28.6,28.6,33.5,37.6,52.9,41.3,36.8,30.1,67.8
8,Tennessee,2019,2,123,94.7,0.9529,55.3,47.4,15.9,18.2,31.6,30.3,33.4,34.4,55.7,44.6,36.2,34.4,69
9,Kentucky,2019,2,117,91.4,0.945,53.3,47,18.5,18.4,36.6,25.8,42.5,27.1,52.7,43.6,36.4,35,67.3
10,Purdue,2019,3,121.2,95.3,0.9409,52.7,49.5,15.9,19.5,35,26.6,29.4,32.7,51.2,47.9,36.4,34.4,67.1
11,Houston,2019,3,114.1,90.7,0.9331,52.1,42.4,16.8,18.2,34.7,26.2,31.9,37.6,50.8,43.1,35.9,27.6,67.5
12,Virginia Tech,2019,4,118.1,94,0.9327,56.4,48.9,17.5,21.7,29.8,27.4,31.4,26.4,54.2,48,39.4,33.2,65.1
13,Auburn,2019,5,119.5,95.6,0.9287,54.2,51.8,17.5,25.3,32.7,32.9,31,36.6,51.3,50.4,38.1,35.6,69.4
14,Iowa St.,2019,6,118.3,95.8,0.9189,54.9,48.5,16.2,18.8,28.5,30,30.3,23.6,55,47.1,36.5,33.8,69.2
15,Wisconsin,2019,5,109,88.4,0.9173,51.5,44.8,14.4,17.2,24,26.5,27.5,25.9,49.8,43.7,36.6,31.2,64.9
