Team ID,Team Name,Year,Conference,Games,W,L
1,Virginia,2019,ACC,32,29,3
2,Gonzaga,2019,WCC,33,30,3
3,Duke,2019,ACC,34,29,5
4,Michigan,2019,B10,34,28,6
5,North Carolina,2019,ACC,33,27,6
6,Michigan St.,2019,B10,34,28,6
7,Texas Tech,2019,B12,32,26,6
8,Tennessee,2019,SEC,33,28,5
9,Kentucky,2019,SEC,33,27,6
10,Purdue,2019,B10,32,23,9
11,Houston,2019,Amer,34,31,3
12,Virginia Tech,2019,ACC,32,24,8
13,Auburn,2019,SEC,34,25,9
14,Iowa St.,2019,B12,34,23,11
15,Wisconsin,2019,B10,33,23,10
16,Kansas,2019,B12,34,25,9
17,LSU,2019,SEC,32,26,6
18,Louisville,2019,ACC,33,20,13
19,Kansas St.,2019,B12,33,25,8
20,Florida St.,2019,ACC,34,27,7
21,Mississippi St.,2019,SEC,33,23,10
22,Florida,2019,SEC,34,19,15
23,Maryland,2019,B10,32,22,10
24,Cincinnati,2019,Amer,34,28,6
25,VCU,2019,A10,32,25,7
26,Texas,2019,B12,32,16,16
27,Clemson,2019,ACC,32,19,13
28,Buffalo,2019,MAC,33,30,3
29,UCF,2019,Amer,31,23,8
30,Wofford,2019,SC,30,26,4
31,Nevada,2019,MWC,33,29,4
32,Oklahoma,2019,B12,32,19,13
33,Nebraska,2019,B10,33,17,16
34,Marquette,2019,BE,33,24,9
35,Mississippi,2019,SEC,32,20,12
36,Syracuse,2019,ACC,33,20,13
37,Saint Mary's,2019,WCC,33,22,11
38,TCU,2019,B12,33,20,13
39,Villanova,2019,BE,34,25,9
40,North Carolina St.,2019,ACC,33,22,11
41,Penn St.,2019,B10,32,14,18
42,Iowa,2019,B10,33,22,11
43,Utah St.,2019,MWC,33,27,6
44,Ohio St.,2019,B10,33,19,14
45,Oregon,2019,P12,35,23,12
46,Baylor,2019,B12,32,19,13
47,Minnesota,2019,B10,34,21,13
48,Indiana,2019,B10,32,17,15
49,Creighton,2019,BE,31,17,14
50,Washington,2019,P12,34,26,8
51,Alabama,2019,SEC,33,18,15
52,New Mexico St.,2019,WAC,32,28,4
53,Missouri,2019,SEC,32,15,17
54,Lipscomb,2019,ASun,30,23,7
55,Dayton,2019,A10,32,21,11
56,Memphis,2019,Amer,34,21,13
57,Temple,2019,Amer,32,23,9
58,Murray St.,2019,OVC,29,25,4
59,Arkansas,2019,SEC,32,17,15
60,Belmont,2019,OVC,30,25,5
61,Toledo,2019,MAC,31,24,7
62,Seton Hall,2019,BE,33,20,13
63,San Francisco,2019,WCC,30,20,10
64,Arizona St.,2019,P12,32,22,10
65,South Carolina,2019,SEC,31,15,16
66,Miami FL,2019,ACC,32,14,18
67,Furman,2019,SC,29,22,7
68,Illinois,2019,B10,33,12,21
69,Butler,2019,BE,32,16,16
70,Providence,2019,BE,33,18,15
71,Wichita St.,2019,Amer,33,19,14
72,Colorado,2019,P12,33,21,12
73,Northwestern,2019,B10,32,13,19
74,Xavier,2019,BE,33,18,15
75,St. John's,2019,BE,33,21,12
76,Vermont,2019,AE,32,26,6
77,Oklahoma St.,2019,B12,32,12,20
78,Liberty,2019,BSth,31,25,6
79,West Virginia,2019,B12,34,14,20
80,Fresno St.,2019,MWC,31,22,9
81,Rutgers,2019,B10,31,14,17
82,UC Irvine,2019,BW,34,29,5
83,Texas A&M,2019,SEC,32,14,18
84,Arizona,2019,P12,32,17,15
85,USC,2019,P12,33,16,17
86,SMU,2019,Amer,32,15,17
87,Yale,2019,Ivy,28,21,7
