GameID,TeamID,Opp Team ID,Team Name,Opponent,Year,Seed,Opp Seed,Adj Off,Adj Def,Tempo,Pts/100 Poss,EFG%,TOR,ORB,FTR,Opp Pts/100 Poss,EFGD,TORD,DRB,FTRD
1,46,36,Baylor,Syracuse,2019,9,8,139.1,108.7,60.4,129.1,69.2,19.9,34.6,17.3,114.2,52.9,21.5,33.3,35.3
2,16,98,Kansas,Northeastern,2019,4,13,123.2,78.7,68.1,127.8,62.3,17.6,35.7,19.7,77.8,33.3,14.7,20.5,35.1
3,58,34,Murray St.,Marquette,2019,12,5,122.8,83,72.1,115.2,61.6,16.7,24.2,42.9,88.8,37.8,16.7,35.8,16.2
4,30,62,Wofford,Seton Hall,2019,7,10,125.9,96.1,69.5,120.8,60.2,12.9,22.2,42.6,97.8,47.6,18.7,35.5,24.2
5,2,230,Gonzaga,Fairleigh Dickinson,2019,1,16,121.5,69.8,67.8,128.4,60.2,16.2,42.9,25,72.3,36,25.1,23.8,46
6,47,18,Minnesota,Louisville,2019,10,7,149.8,108.9,63.7,135,59.5,7.8,29.7,44.8,119.3,51.7,7.8,27.3,28.8
7,76,20,Vermont,Florida St.,2019,13,4,118.2,101.2,67.9,101.7,58.5,23.6,20.6,24.5,112,40.9,10.3,31.6,67.3
8,9,153,Kentucky,Abilene Christian,2019,2,15,126,71.2,63.9,123.7,57.1,18.8,50,33.9,68.9,36.8,15.7,9.1,18.9
9,39,37,Villanova,Saint Mary's,2019,6,11,118.5,92.8,55.6,109.8,57.1,12.6,17.9,18.4,102.6,49.1,14.4,29.4,10.9
10,13,52,Auburn,New Mexico St.,2019,5,12,119.9,99.3,69.9,111.6,56.1,14.3,17.6,36.8,110.2,55.9,22.9,37.9,52.9
11,52,13,New Mexico St.,Auburn,2019,12,5,116.7,97.1,69.9,110.2,55.9,22.9,37.9,52.9,111.6,56.1,14.3,17.6,36.8
12,4,137,Michigan,Montana,2019,2,15,109.7,76.9,68.3,108.4,53.9,17.6,21.4,47.1,80.5,38.3,14.6,19.5,21.7
13,36,46,Syracuse,Baylor,2019,8,9,121.1,114.4,60.4,114.2,52.9,21.5,33.3,35.3,129.1,69.2,19.9,34.6,17.3
14,18,47,Louisville,Minnesota,2019,7,10,127.8,126.3,63.7,119.3,51.7,7.8,27.3,28.8,135,59.5,7.8,29.7,44.8
15,175,6,Bradley,Michigan St.,2019,15,2,113.5,93.8,67.4,96.4,51,14.8,9.7,34.6,112.7,47.2,13.3,25.8,48.1
16,22,31,Florida,Nevada,2019,10,7,119.7,88.2,63.2,110.8,50,17.4,32.3,41.5,96.6,39.1,22.2,47.5,45.5
17,17,87,LSU,Yale,2019,3,14,110,89.1,74.7,105.7,49.2,14.7,31.6,45.9,99,43.1,12,26.1,20.8
18,37,39,Saint Mary's,Villanova,2019,11,6,106.1,99.6,55.6,102.6,49.1,14.4,29.4,10.9,109.8,57.1,12.6,17.9,18.4
19,60,23,Belmont,Maryland,2019,11,6,125.1,104.5,69,111.6,48.5,7.2,27.8,30.8,114.5,47.8,7.2,35.7,29
20,23,60,Maryland,Belmont,2019,6,11,115.5,101.6,69,114.5,47.8,7.2,35.7,29,111.6,48.5,7.2,27.8,30.8
21,62,30,Seton Hall,Wofford,2019,10,7,106.8,104.8,69.5,97.8,47.6,18.7,35.5,24.2,120.8,60.2,12.9,22.2,42.6
22,6,175,Michigan St.,Bradley,2019,2,15,111.9,102.1,67.4,112.7,47.2,13.3,25.8,48.1,96.4,51,14.8,9.7,34.6
23,10,120,Purdue,Old Dominion,2019,3,14,103.4,76.6,64.7,94.3,46.2,17,24.3,34,74.2,31.3,13.9,26.5,9
24,87,17,Yale,LSU,2019,14,3,101.9,95.7,74.7,99,43.1,12,26.1,20.8,105.7,49.2,14.7,31.6,45.9
25,20,76,Florida St.,Vermont,2019,4,13,115.3,100.4,67.9,112,40.9,10.3,31.6,67.3,101.7,58.5,23.6,20.6,24.5
26,31,22,Nevada,Florida,2019,7,10,108.3,104.1,63.2,96.6,39.1,22.2,47.5,45.5,110.8,50,17.4,32.3,41.5
27,137,4,Montana,Michigan,2019,15,2,95.5,98.8,68.3,80.5,38.3,14.6,19.5,21.7,108.4,53.9,17.6,21.4,47.1
28,34,58,Marquette,Murray St.,2019,5,12,94.1,106.7,72.1,88.8,37.8,16.7,35.8,16.2,115.2,61.6,16.7,24.2,42.9
29,153,9,Abilene Christian,Kentucky,2019,15,2,80,108,63.9,68.9,36.8,15.7,9.1,18.9,123.7,57.1,18.8,50,33.9
30,230,2,Fairleigh Dickinson,Gonzaga,2019,16,1,81.2,108.7,67.8,72.3,36,25.1,23.8,46,128.4,60.2,16.2,42.9,25
31,98,16,Northeastern,Kansas,2019,13,4,92.9,111.8,68.1,77.8,33.3,14.7,20.5,35.1,127.8,62.3,17.6,35.7,19.7
32,120,10,Old Dominion,Purdue,2019,14,3,80.6,79.7,64.7,74.2,31.3,13.9,26.5,9,94.3,46.2,17,24.3,34
33,42,24,Iowa,Cincinnati,2019,10,7,124.8,102.4,67.1,117.7,65.1,20.9,25.9,30.2,107.3,47.7,10.4,31.6,21.5
34,32,35,Oklahoma,Mississippi,2019,9,8,149,94.6,68.1,139.4,62.7,5.9,21.4,44.1,105.7,55.6,16.1,24.2,6.5
35,45,15,Oregon,Wisconsin,2019,12,5,127.8,87,62.7,114.8,61.8,19.1,24,21.6,86.1,38.3,20.7,36.4,21.7
36,28,64,Buffalo,Arizona St.,2019,6,11,129.6,94.1,74.4,122.3,60,20.2,39.4,43.3,99.4,45.8,14.8,17.1,33.3
37,50,43,Washington,Utah St.,2019,9,8,116.8,84.5,69.2,112.7,58.8,21.7,25.9,41.2,88.1,41.7,30.3,40.5,37
38,7,101,Texas Tech,Northern Kentucky,2019,3,14,103.3,78.2,70.4,102.2,58.5,15.6,6.9,32.1,80.9,41.1,24.1,29.3,12.9
39,1,183,Virginia,Gardner Webb,2019,1,16,103.6,91.9,63,112.6,58.3,23.8,42.9,24.1,88.8,53,25.4,17.9,8
40,141,8,Colgate,Tennessee,2019,15,2,116.4,101.2,64.5,108.5,58,20.1,25.8,10.7,119.3,53.9,12.4,34.3,17.2
41,11,108,Houston,Georgia St.,2019,3,14,123.6,80.1,68.1,123.3,57.8,16.1,39.4,20.3,80.7,35,10.3,15.6,28.3
42,78,21,Liberty,Mississippi St.,2019,12,5,125,102.3,66.9,119.6,57.7,14.9,22.6,48.1,113.6,55.8,17.9,27.6,44.2
43,29,25,UCF,VCU,2019,9,8,126.1,85.4,67.7,107.9,57,22.2,32.3,19.3,85.7,36.1,17.7,28.9,27.9
44,3,198,Duke,North Dakota St.,2019,1,16,110.6,86.3,71.4,119.1,56.9,8.4,22.2,26.2,86.9,43.1,18.2,16.7,24.1
45,21,78,Mississippi St.,Liberty,2019,5,12,120.1,110.8,66.9,113.6,55.8,17.9,27.6,44.2,119.6,57.7,14.9,22.6,48.1
46,35,32,Mississippi,Oklahoma,2019,8,9,115.2,131.9,68.1,105.7,55.6,16.1,24.2,6.5,139.4,62.7,5.9,21.4,44.1
47,8,141,Tennessee,Colgate,2019,2,15,117.7,101.6,64.5,119.3,53.9,12.4,34.3,17.2,108.5,58,20.1,25.8,10.7
48,223,5,Iona,North Carolina,2019,16,1,115.8,101.1,73.1,99.8,53.6,16.4,5.9,27.3,120.3,51.3,16.4,45.5,20
49,82,19,UC Irvine,Kansas St.,2019,13,4,122,96.1,65.6,106.7,53,21.3,27.6,38,97.6,44.1,19.8,34.2,25.4
50,183,1,Gardner Webb,Virginia,2019,16,1,108.4,89.8,63,88.8,53,25.4,17.9,8,112.6,58.3,23.8,42.9,24.1
51,5,223,North Carolina,Iona,2019,1,16,111.6,100.6,73.1,120.3,51.3,16.4,45.5,20,99.8,53.6,16.4,5.9,27.3
52,14,44,Iowa St.,Ohio St.,2019,6,11,101.5,93.5,63.7,92.6,49.1,18.8,18.8,18.9,97.3,44,17.3,32.4,24.1
53,24,42,Cincinnati,Iowa,2019,7,10,114.3,100.9,67.1,107.3,47.7,10.4,31.6,21.5,117.7,65.1,20.9,25.9,30.2
54,12,111,Virginia Tech,Saint Louis,2019,4,13,109.4,76.8,66.7,98.9,45.8,16.5,16.7,56.2,77.9,40.4,27,31.4,30.8
55,64,28,Arizona St.,Buffalo,2019,11,6,107.3,111.4,74.4,99.4,45.8,14.8,17.1,33.3,122.3,60,20.2,39.4,43.3
56,19,82,Kansas St.,UC Irvine,2019,4,13,106.3,99.9,65.6,97.6,44.1,19.8,34.2,25.4,106.7,53,21.3,27.6,38
57,44,14,Ohio St.,Iowa St.,2019,11,6,104.4,80.4,63.7,97.3,44,17.3,32.4,24.1,92.6,49.1,18.8,18.8,18.9
58,198,3,North Dakota St.,Duke,2019,16,1,103.2,101.4,71.4,86.9,43.1,18.2,16.7,24.1,119.1,56.9,8.4,22.2,26.2
59,43,50,Utah St.,Washington,2019,8,9,101,107.1,69.2,88.1,41.7,30.3,40.5,37,112.7,58.8,21.7,25.9,41.2
60,101,7,Northern Kentucky,Texas Tech,2019,14,3,99,90.9,70.4,80.9,41.1,24.1,29.3,12.9,102.2,58.5,15.6,6.9,32.1
61,111,12,Saint Louis,Virginia Tech,2019,13,4,83.4,88.8,66.7,77.9,40.4,27,31.4,30.8,98.9,45.8,16.5,16.7,56.2
62,15,45,Wisconsin,Oregon,2019,5,12,102.7,104.8,62.7,86.1,38.3,20.7,36.4,21.7,114.8,61.8,19.1,24,21.6
63,25,29,VCU,UCF,2019,8,9,95.8,98,67.7,85.7,36.1,17.7,28.9,27.9,107.9,57,22.2,32.3,19.3
64,108,11,Georgia St.,Houston,2019,14,3,94.5,108.1,68.1,80.7,35,10.3,15.6,28.3,123.3,57.8,16.1,39.4,20.3
65,10,39,Purdue,Villanova,2019,3,6,145.7,86,62.9,138.3,68.5,19.1,44.4,29.6,97,44,15.9,23.1,19
66,6,47,Michigan St.,Minnesota,2019,2,10,116.7,71,64.9,107.8,63.3,33.9,47.8,22.4,77,32.2,9.2,17.1,23.7
67,13,16,Auburn,Kansas,2019,5,4,148.4,93.1,69.8,127.4,63.1,10,19.4,24.6,107.4,50.8,22.9,38.2,30.5
