Player ID,Player Name,Team ID,Team Name,Seed,Year,G,MIN%,O-PRPG,D-PRPG,BPM,OBPM,DBPM,ORTG,D-RTG,USG,EFG,TS%,ORB,DRB,ASTR,TOR,A/TOR,BLKR,STLR,FTR,Fouls/40,Dunks,Dunk Att,Close 2,Close 2 Att,Close 2%,Far 2,Far 2 Att,Far 2%,FT,FTA,FT%,2PT,2PTA,2PT%,3PR,3PT,3PTA,3PT%
404,Tyler Sharpe,101,Northern Kentucky,14,2019,1,87.5,12.7,3.8,17.4,14.4,3,165.1,98.3,17.5,76.9,79.7,0,3.9,8.2,0,0,0,0,23.1,2.3,0,0,2,2,1,2,4,0.5,3,3,1,4,6,0.667,53.8,4,7,0.571
228,Cody Martin,31,Nevada,7,2019,1,100,11.9,4.1,16.8,10.1,6.7,153,100.3,20.6,75,80,2.5,12.9,0,15.5,0,0,4.7,41.7,4,0,1,4,5,0.8,2,2,1,5,5,1,6,7,0.857,41.7,2,5,0.4
1478,Tyler Williams,94,San Diego,,2019,1,92.5,11.1,3.3,13.6,9.1,4.5,188.1,104,9.5,78.6,78.6,0,3.6,36.7,0,0,0,1.5,0,0,0,0,1,1,1,0,2,0,0,0,0,1,3,0.333,57.1,3,4,0.75
136,Jordan Burns,141,Colgate,15,2019,1,90,10.6,3.1,17.9,18.5,-0.7,126.3,104.8,39.5,80,80,0,0,38.1,26.7,0.7,0,1.7,0,0,0,0,2,3,0.667,2,4,0.5,0,0,0,4,7,0.571,65,8,13,0.615
1381,Aaron Thompson,69,Butler,,2019,1,90,10.6,2.2,14.6,8.6,5.9,169.2,111.9,17.7,66.7,74.1,0,15.3,61.9,9.7,12,3.1,3.5,50,4.4,0,0,3,3,1,1,1,1,3,3,1,4,4,1,33.3,0,2,0
15,Carsen Edwards,10,Purdue,3,2019,4,98.8,10.4,4.3,12.6,12.7,-0.1,123.8,98.2,36.1,60.4,64.3,0,11.2,11.8,11.7,0.7,0,0.8,39.6,1.7,0,1,9,18,0.5,4,12,0.333,29,36,0.806,13,30,0.433,67,28,61,0.459
3468,Francisco Amiel,141,Colgate,15,2019,1,45,10.3,1.8,4.1,0.5,3.6,300,100.5,2.2,150,150,0,19,0,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1,1,1
292,Christen Cunningham,18,Louisville,7,2019,1,97.5,10,0.3,7,7.1,-0.1,141.9,127.5,24.7,45,68,0,2.8,18.7,6.6,4,0,1.6,130,3.1,0,0,3,4,0.75,0,3,0,13,13,1,3,7,0.429,30,1,3,0.333
276,Rickey McGill,223,Iona,16,2019,1,95,9.8,4.2,18.5,12.3,6.2,142.6,97.9,20.7,95.8,96.8,0,4.8,7.8,21.2,0.3,2,5.8,25,3.2,0,0,1,2,0.5,0,1,0,3,3,1,1,3,0.333,75,7,9,0.778
20,Matt Rafferty,67,Furman,,2019,1,87.5,9.8,4.4,22.6,14.2,8.4,128.2,93.2,35.7,57.9,61.8,6.5,20.2,42.6,4.8,5,0,8.4,31.6,3.4,0,0,7,11,0.636,4,7,0.571,5,6,0.833,11,18,0.611,5.3,0,1,0
